sample_id,total_alleles,functional_alleles,pct_functional,avg_prefix_consistency,avg_prefix_functional,avg_prefix_nonfunctional,high_prefix_count,pct_high_prefix
HG00438,275,82,29.818181818181817,0.0,0.0,0.0,0,0.0
HG00621,293,93,31.74061433447099,1.1979522184300342,0.8387096774193549,1.365,0,0.0
HG00673,241,58,24.066390041493776,0.0,0.0,0.0,0,0.0
HG00733,349,122,34.95702005730659,1.5501432664756447,1.0081967213114753,1.841409691629956,99,28.36676217765043
HG00735,341,120,35.19061583577713,0.0,0.0,0.0,0,0.0
HG00741,338,112,33.13609467455622,1.6035502958579881,1.1160714285714286,1.845132743362832,102,30.17751479289941
HG01071,349,126,36.10315186246418,1.472779369627507,1.0476190476190477,1.7130044843049328,95,27.22063037249284
HG01106,304,103,33.881578947368425,0.0,0.0,0.0,0,0.0
HG01109,333,117,35.13513513513514,1.5345345345345345,0.9401709401709402,1.8564814814814814,92,27.627627627627625
HG01175,327,112,34.25076452599388,0.0,0.0,0.0,0,0.0
HG01243,278,83,29.856115107913666,0.0,0.0,0.0,0,0.0
HG01258,252,68,26.984126984126984,0.0,0.0,0.0,0,0.0
HG01358,366,137,37.43169398907104,1.459016393442623,0.8248175182481752,1.8384279475982532,99,27.049180327868854
HG01361,322,109,33.85093167701863,0.0,0.0,0.0,0,0.0
HG01891,372,131,35.215053763440864,1.5483870967741935,1.0534351145038168,1.8174273858921162,109,29.301075268817208
HG01928,305,98,32.131147540983605,0.0,0.0,0.0,0,0.0
HG01952,338,112,33.13609467455622,1.5384615384615385,1.0,1.8053097345132743,104,30.76923076923077
HG01978,335,123,36.71641791044776,1.4567164179104477,0.7804878048780488,1.849056603773585,92,27.46268656716418
HG02055,333,117,35.13513513513514,1.5615615615615615,0.9914529914529915,1.8703703703703705,97,29.129129129129126
HG02080,289,93,32.17993079584775,1.7889273356401385,1.1935483870967742,2.0714285714285716,96,33.21799307958477
HG02145,302,95,31.456953642384107,1.5397350993377483,1.0,1.78743961352657,104,34.437086092715234
HG02148,354,118,33.33333333333333,0.0,0.0,0.0,0,0.0
HG02257,362,118,32.59668508287293,0.0,0.0,0.0,0,0.0
HG02622,238,64,26.89075630252101,0.0,0.0,0.0,0,0.0
HG02630,307,107,34.85342019543974,0.0,0.0,0.0,0,0.0
HG02717,411,164,39.90267639902677,0.7250608272506083,0.5670731707317073,0.8299595141700404,0,0.0
HG02723,380,137,36.05263157894737,0.0,0.0,0.0,0,0.0
HG02818,351,127,36.182336182336186,0.0,0.0,0.0,0,0.0
HG02886,276,84,30.434782608695656,1.2753623188405796,0.9523809523809523,1.4166666666666667,0,0.0
HG03098,356,122,34.26966292134831,1.6629213483146068,1.0573770491803278,1.9786324786324787,109,30.61797752808989
HG03453,356,118,33.146067415730336,0.0,0.0,0.0,0,0.0
HG03486,368,137,37.22826086956522,1.5733695652173914,0.8832116788321168,1.9826839826839826,103,27.98913043478261
HG03492,337,122,36.20178041543027,1.3887240356083086,0.8278688524590164,1.7069767441860466,80,23.738872403560833
HG03516,358,125,34.91620111731844,1.5921787709497206,1.168,1.8197424892703862,112,31.28491620111732
HG03540,249,65,26.104417670682732,1.6104417670682731,0.9230769230769231,1.8532608695652173,69,27.710843373493976
HG03579,348,122,35.05747126436782,1.6091954022988506,1.180327868852459,1.8407079646017699,104,29.88505747126437
NA18906,314,98,31.210191082802545,0.0,0.0,0.0,0,0.0
NA19240,358,127,35.47486033519553,0.0,0.0,0.0,0,0.0
NA20129,328,104,31.70731707317073,0.6676829268292683,0.5576923076923077,0.71875,0,0.0
