sample_id,total_alleles,functional_alleles,pct_functional,avg_prefix_consistency,avg_prefix_functional,avg_prefix_nonfunctional,high_prefix_count,pct_high_prefix
HG00438,134,63,47.01492537313433,1.9701492537313432,1.746031746031746,2.1690140845070425,54,40.298507462686565
HG00621,123,57,46.34146341463415,2.097560975609756,1.7017543859649122,2.4393939393939394,52,42.27642276422765
HG00673,123,54,43.90243902439025,2.2601626016260163,1.8703703703703705,2.5652173913043477,60,48.78048780487805
HG00733,129,55,42.63565891472868,2.124031007751938,1.709090909090909,2.4324324324324325,56,43.41085271317829
HG00735,135,59,43.7037037037037,2.2074074074074073,1.728813559322034,2.5789473684210527,61,45.18518518518518
HG00741,122,54,44.26229508196721,0.9262295081967213,0.8888888888888888,0.9558823529411765,0,0.0
HG01071,119,51,42.857142857142854,0.0,0.0,0.0,0,0.0
HG01106,134,64,47.76119402985074,2.470149253731343,2.21875,2.7,68,50.74626865671642
HG01109,125,56,44.800000000000004,0.848,0.8035714285714286,0.8840579710144928,0,0.0
HG01175,115,46,40.0,1.3478260869565217,1.2608695652173914,1.4057971014492754,0,0.0
HG01243,131,57,43.51145038167939,0.8778625954198473,0.8421052631578947,0.9054054054054054,0,0.0
HG01258,125,56,44.800000000000004,2.568,2.267857142857143,2.8115942028985508,71,56.8
HG01358,136,62,45.588235294117645,2.4191176470588234,2.2580645161290325,2.554054054054054,70,51.470588235294116
HG01361,118,48,40.67796610169492,0.0,0.0,0.0,0,0.0
HG01891,119,49,41.17647058823529,2.453781512605042,2.4081632653061225,2.4857142857142858,62,52.10084033613446
HG01928,126,55,43.65079365079365,2.126984126984127,1.7454545454545454,2.4225352112676055,50,39.682539682539684
HG01952,129,59,45.73643410852713,2.13953488372093,1.9491525423728813,2.3,57,44.18604651162791
HG01978,119,52,43.69747899159664,1.9327731092436975,1.4038461538461537,2.343283582089552,37,31.092436974789916
HG02055,130,58,44.61538461538462,0.0,0.0,0.0,0,0.0
HG02080,123,53,43.08943089430895,2.430894308943089,2.2264150943396226,2.585714285714286,66,53.65853658536586
HG02145,129,56,43.41085271317829,2.201550387596899,1.9285714285714286,2.410958904109589,56,43.41085271317829
HG02148,137,63,45.98540145985402,2.0583941605839415,1.6984126984126984,2.364864864864865,55,40.14598540145985
HG02257,133,61,45.86466165413533,2.1578947368421053,2.0327868852459017,2.263888888888889,60,45.11278195488722
HG02572,138,65,47.10144927536232,2.181159420289855,1.9846153846153847,2.356164383561644,59,42.7536231884058
HG02622,120,52,43.333333333333336,2.75,2.9423076923076925,2.6029411764705883,75,62.5
HG02630,119,48,40.33613445378151,0.0,0.0,0.0,0,0.0
HG02717,130,55,42.30769230769231,2.4461538461538463,2.2181818181818183,2.6133333333333333,68,52.307692307692314
HG02723,122,52,42.62295081967213,0.8688524590163934,0.8269230769230769,0.9,0,0.0
HG02818,129,59,45.73643410852713,2.186046511627907,2.1186440677966103,2.242857142857143,60,46.51162790697674
HG02886,128,61,47.65625,0.8671875,0.7868852459016393,0.9402985074626866,0,0.0
HG03098,116,50,43.103448275862064,0.0,0.0,0.0,0,0.0
HG03453,112,47,41.964285714285715,0.0,0.0,0.0,0,0.0
HG03486,123,54,43.90243902439025,2.2195121951219514,2.0925925925925926,2.318840579710145,55,44.71544715447154
HG03492,132,60,45.45454545454545,2.3636363636363638,2.316666666666667,2.4027777777777777,67,50.75757575757576
HG03516,131,59,45.038167938931295,2.4732824427480917,2.305084745762712,2.611111111111111,70,53.43511450381679
HG03540,116,48,41.37931034482759,1.5689655172413792,1.4791666666666667,1.6323529411764706,0,0.0
HG03579,104,37,35.57692307692308,2.0288461538461537,1.7297297297297298,2.1940298507462686,41,39.42307692307692
NA18906,113,50,44.24778761061947,0.0,0.0,0.0,0,0.0
NA19240,133,61,45.86466165413533,2.3909774436090228,2.1311475409836067,2.611111111111111,65,48.87218045112782
NA20129,129,60,46.51162790697674,2.1782945736434107,1.8166666666666667,2.4927536231884058,57,44.18604651162791
