sample_id,total_alleles,functional_alleles,pct_functional,avg_prefix_consistency,avg_prefix_functional,avg_prefix_nonfunctional,high_prefix_count,pct_high_prefix
HG00438,126,58,46.03174603174603,2.507936507936508,2.2586206896551726,2.7205882352941178,72,57.14285714285714
HG00621,124,61,49.193548387096776,2.2419354838709675,1.540983606557377,2.9206349206349205,60,48.38709677419355
HG00673,129,61,47.286821705426355,2.294573643410853,1.7377049180327868,2.7941176470588234,62,48.06201550387597
HG00733,119,57,47.89915966386555,2.4201680672268906,2.0701754385964914,2.7419354838709675,64,53.78151260504202
HG00735,128,64,50.0,2.3125,1.828125,2.796875,68,53.125
HG00741,129,64,49.6124031007752,2.24031007751938,1.875,2.6,61,47.286821705426355
HG01071,130,60,46.15384615384615,2.2,2.0833333333333335,2.3,60,46.15384615384615
HG01106,128,67,52.34375,2.3203125,1.6119402985074627,3.098360655737705,62,48.4375
HG01109,128,64,50.0,2.375,2.015625,2.734375,66,51.5625
HG01175,129,65,50.3875968992248,2.2248062015503876,1.6153846153846154,2.84375,62,48.06201550387597
HG01243,122,61,50.0,2.5491803278688523,2.2459016393442623,2.8524590163934427,69,56.557377049180324
HG01258,139,73,52.51798561151079,2.20863309352518,1.821917808219178,2.6363636363636362,65,46.76258992805755
HG01358,128,61,47.65625,2.15625,1.6721311475409837,2.5970149253731343,58,45.3125
HG01361,113,55,48.67256637168141,2.982300884955752,2.581818181818182,3.3620689655172415,80,70.79646017699115
HG01891,135,64,47.40740740740741,2.214814814814815,1.921875,2.4788732394366195,62,45.925925925925924
HG01928,133,64,48.1203007518797,1.8646616541353382,1.359375,2.3333333333333335,50,37.59398496240601
HG01952,106,47,44.339622641509436,2.5660377358490565,2.0851063829787235,2.9491525423728815,61,57.54716981132076
HG01978,142,72,50.70422535211267,2.140845070422535,1.8472222222222223,2.442857142857143,60,42.25352112676056
HG02055,121,59,48.760330578512395,2.4710743801652892,2.016949152542373,2.903225806451613,67,55.371900826446286
HG02080,136,66,48.529411764705884,2.1470588235294117,1.606060606060606,2.657142857142857,58,42.64705882352941
HG02145,130,61,46.92307692307692,2.223076923076923,2.0655737704918034,2.36231884057971,60,46.15384615384615
HG02148,131,62,47.32824427480916,1.8702290076335877,1.435483870967742,2.260869565217391,51,38.93129770992366
HG02257,136,67,49.26470588235294,2.286764705882353,1.8955223880597014,2.6666666666666665,72,52.94117647058824
HG02572,123,57,46.34146341463415,2.5528455284552845,2.1403508771929824,2.909090909090909,72,58.536585365853654
HG02622,131,67,51.14503816793893,2.6412213740458017,2.1940298507462686,3.109375,80,61.06870229007634
HG02630,142,74,52.112676056338024,2.232394366197183,1.6891891891891893,2.823529411764706,71,50.0
HG02717,124,58,46.774193548387096,2.3225806451612905,2.0,2.606060606060606,64,51.61290322580645
HG02723,134,67,50.0,2.0074626865671643,1.5820895522388059,2.4328358208955225,58,43.28358208955223
HG02818,125,62,49.6,2.024,1.3870967741935485,2.6507936507936507,50,40.0
HG02886,148,75,50.67567567567568,1.9797297297297298,1.4533333333333334,2.5205479452054793,57,38.513513513513516
HG03098,127,59,46.45669291338583,2.236220472440945,1.7627118644067796,2.6470588235294117,60,47.24409448818898
HG03453,137,66,48.175182481751825,1.9708029197080292,1.4090909090909092,2.492957746478873,61,44.52554744525548
HG03486,121,60,49.586776859504134,2.090909090909091,1.4333333333333333,2.737704918032787,49,40.49586776859504
HG03492,117,56,47.863247863247864,2.5811965811965814,2.1964285714285716,2.9344262295081966,72,61.53846153846154
HG03516,134,61,45.52238805970149,2.0,1.6229508196721312,2.315068493150685,53,39.55223880597015
HG03540,112,55,49.107142857142854,2.3125,1.709090909090909,2.8947368421052633,57,50.89285714285714
HG03579,112,54,48.214285714285715,2.544642857142857,1.8703703703703705,3.1724137931034484,65,58.03571428571429
NA18906,133,65,48.87218045112782,2.3233082706766917,1.8,2.823529411764706,67,50.37593984962406
NA19240,138,68,49.275362318840585,2.2753623188405796,1.9558823529411764,2.585714285714286,63,45.65217391304348
NA20129,135,65,48.148148148148145,1.9777777777777779,1.4461538461538461,2.4714285714285715,59,43.7037037037037
