sample_id,total_alleles,functional_alleles,pct_functional,avg_prefix_consistency,avg_prefix_functional,avg_prefix_nonfunctional,high_prefix_count,pct_high_prefix
HG00438,119,75,63.02521008403361,2.319327731092437,2.0533333333333332,2.772727272727273,59,49.57983193277311
HG00621,117,76,64.95726495726495,2.41025641025641,2.026315789473684,3.1219512195121952,59,50.427350427350426
HG00673,110,71,64.54545454545455,2.2818181818181817,2.0140845070422535,2.769230769230769,54,49.09090909090909
HG00733,113,72,63.716814159292035,2.5575221238938055,2.3333333333333335,2.951219512195122,64,56.63716814159292
HG00735,127,80,62.99212598425197,2.2913385826771653,2.1,2.617021276595745,60,47.24409448818898
HG00741,118,75,63.559322033898304,2.330508474576271,2.2133333333333334,2.5348837209302326,58,49.152542372881356
HG01071,121,77,63.63636363636363,2.355371900826446,2.2857142857142856,2.477272727272727,62,51.2396694214876
HG01106,123,77,62.601626016260155,2.178861788617886,1.9610389610389611,2.5434782608695654,57,46.34146341463415
HG01109,121,76,62.8099173553719,2.28099173553719,2.0,2.7555555555555555,59,48.760330578512395
HG01175,112,68,60.71428571428571,2.4642857142857144,2.426470588235294,2.522727272727273,60,53.57142857142857
HG01243,120,72,60.0,2.566666666666667,2.375,2.8541666666666665,69,57.49999999999999
HG01258,125,79,63.2,2.4,2.151898734177215,2.8260869565217392,67,53.6
HG01358,128,81,63.28125,2.2265625,2.074074074074074,2.4893617021276597,58,45.3125
HG01361,122,77,63.114754098360656,2.1639344262295084,1.896103896103896,2.6222222222222222,56,45.90163934426229
HG01891,122,76,62.295081967213115,2.0081967213114753,1.9473684210526316,2.108695652173913,45,36.885245901639344
HG01928,111,71,63.96396396396396,2.72972972972973,2.492957746478873,3.15,70,63.06306306306306
HG01952,111,69,62.16216216216216,2.6576576576576576,2.550724637681159,2.8333333333333335,64,57.65765765765766
HG01978,136,86,63.23529411764706,2.161764705882353,1.8488372093023255,2.7,64,47.05882352941176
HG02055,121,73,60.33057851239669,2.4958677685950414,2.4246575342465753,2.6041666666666665,68,56.19834710743802
HG02080,112,71,63.39285714285714,2.392857142857143,2.267605633802817,2.6097560975609757,60,53.57142857142857
HG02145,126,82,65.07936507936508,2.0873015873015874,1.8658536585365855,2.5,53,42.06349206349206
HG02148,110,72,65.45454545454545,1.990909090909091,1.75,2.4473684210526314,42,38.18181818181819
HG02257,112,73,65.17857142857143,2.4017857142857144,2.0273972602739727,3.1025641025641026,61,54.46428571428571
HG02572,128,78,60.9375,2.296875,2.1923076923076925,2.46,68,53.125
HG02622,122,78,63.934426229508205,2.098360655737705,1.9102564102564104,2.4318181818181817,54,44.26229508196721
HG02630,125,80,64.0,2.312,2.0125,2.8444444444444446,64,51.2
HG02717,125,81,64.8,2.376,2.1728395061728394,2.75,66,52.800000000000004
HG02723,120,74,61.66666666666667,2.683333333333333,2.5945945945945947,2.8260869565217392,75,62.5
HG02818,102,63,61.76470588235294,2.5294117647058822,2.3333333333333335,2.8461538461538463,58,56.86274509803921
HG02886,121,79,65.28925619834712,2.3801652892561984,2.151898734177215,2.8095238095238093,62,51.2396694214876
HG03098,112,70,62.5,2.3392857142857144,2.1285714285714286,2.6904761904761907,59,52.67857142857143
HG03453,121,79,65.28925619834712,2.5289256198347108,2.392405063291139,2.7857142857142856,67,55.371900826446286
HG03486,117,75,64.1025641025641,2.358974358974359,2.1466666666666665,2.738095238095238,59,50.427350427350426
HG03492,125,79,63.2,2.168,1.9620253164556962,2.5217391304347827,59,47.199999999999996
HG03516,116,77,66.37931034482759,2.3879310344827585,2.207792207792208,2.7435897435897436,59,50.86206896551724
HG03540,113,71,62.83185840707964,2.47787610619469,2.352112676056338,2.6904761904761907,62,54.86725663716814
HG03579,112,73,65.17857142857143,2.330357142857143,2.0273972602739727,2.8974358974358974,53,47.32142857142857
NA18906,125,82,65.60000000000001,2.048,1.9390243902439024,2.255813953488372,56,44.800000000000004
NA19240,119,77,64.70588235294117,2.327731092436975,2.051948051948052,2.8333333333333335,60,50.42016806722689
NA20129,100,62,62.0,2.57,2.5,2.6842105263157894,58,57.99999999999999
