sample_id,total_alleles,functional_alleles,pct_functional,avg_prefix_consistency,avg_prefix_functional,avg_prefix_nonfunctional,high_prefix_count,pct_high_prefix
HG00438,4,4,100.0,3.0,3.0,,3,75.0
HG00621,5,5,100.0,2.0,2.0,,2,40.0
HG00673,4,4,100.0,2.75,2.75,,3,75.0
HG00733,5,5,100.0,3.4,3.4,,4,80.0
HG00735,5,5,100.0,1.6,1.6,,1,20.0
HG00741,5,5,100.0,3.2,3.2,,4,80.0
HG01071,5,5,100.0,1.6,1.6,,1,20.0
HG01106,5,5,100.0,2.2,2.2,,2,40.0
HG01109,5,5,100.0,1.4,1.4,,1,20.0
HG01175,5,5,100.0,3.2,3.2,,3,60.0
HG01243,5,5,100.0,1.8,1.8,,2,40.0
HG01258,4,4,100.0,4.0,4.0,,4,100.0
HG01358,5,5,100.0,1.8,1.8,,2,40.0
HG01361,6,6,100.0,2.5,2.5,,3,50.0
HG01891,4,4,100.0,1.5,1.5,,1,25.0
HG01928,4,4,100.0,2.25,2.25,,2,50.0
HG01952,6,6,100.0,1.6666666666666667,1.6666666666666667,,2,33.33333333333333
HG01978,5,5,100.0,1.8,1.8,,2,40.0
HG02055,5,5,100.0,2.2,2.2,,2,40.0
HG02080,4,4,100.0,4.0,4.0,,4,100.0
HG02145,5,5,100.0,1.8,1.8,,2,40.0
HG02148,4,4,100.0,3.0,3.0,,3,75.0
HG02257,5,5,100.0,4.0,4.0,,5,100.0
HG02572,5,5,100.0,4.0,4.0,,5,100.0
HG02622,5,5,100.0,1.6,1.6,,2,40.0
HG02630,5,5,100.0,1.6,1.6,,1,20.0
HG02717,4,4,100.0,3.0,3.0,,2,50.0
HG02723,5,5,100.0,1.6,1.6,,2,40.0
HG02818,6,6,100.0,2.5,2.5,,4,66.66666666666666
HG02886,5,5,100.0,3.0,3.0,,4,80.0
HG03098,4,4,100.0,4.0,4.0,,4,100.0
HG03453,5,5,100.0,2.8,2.8,,3,60.0
HG03486,4,4,100.0,2.25,2.25,,2,50.0
HG03492,5,5,100.0,3.2,3.2,,4,80.0
HG03516,5,5,100.0,2.0,2.0,,2,40.0
HG03540,5,5,100.0,2.4,2.4,,3,60.0
HG03579,4,4,100.0,2.25,2.25,,2,50.0
NA18906,4,4,100.0,3.0,3.0,,2,50.0
NA19240,5,5,100.0,2.4,2.4,,2,40.0
NA20129,5,5,100.0,2.2,2.2,,2,40.0
