sample_id,total_alleles,functional_alleles,pct_functional,avg_prefix_consistency,avg_prefix_functional,avg_prefix_nonfunctional,high_prefix_count,pct_high_prefix
HG00438,22,10,45.45454545454545,2.090909090909091,2.0,2.1666666666666665,9,40.909090909090914
HG00621,24,11,45.83333333333333,1.4166666666666667,1.2727272727272727,1.5384615384615385,6,25.0
HG00673,20,10,50.0,2.25,2.0,2.5,8,40.0
HG00733,22,10,45.45454545454545,1.5454545454545454,1.6,1.5,5,22.727272727272727
HG00735,24,11,45.83333333333333,1.7916666666666667,2.1818181818181817,1.4615384615384615,10,41.66666666666667
HG00741,23,11,47.82608695652174,1.826086956521739,1.7272727272727273,1.9166666666666667,8,34.78260869565217
HG01071,23,10,43.47826086956522,1.826086956521739,1.7,1.9230769230769231,9,39.130434782608695
HG01106,22,10,45.45454545454545,1.8636363636363635,1.2,2.4166666666666665,6,27.27272727272727
HG01109,21,8,38.095238095238095,1.8095238095238095,2.375,1.4615384615384615,7,33.33333333333333
HG01175,23,10,43.47826086956522,1.8695652173913044,2.2,1.6153846153846154,8,34.78260869565217
HG01243,23,11,47.82608695652174,1.7826086956521738,1.1818181818181819,2.3333333333333335,7,30.434782608695656
HG01258,22,10,45.45454545454545,2.0,2.1,1.9166666666666667,9,40.909090909090914
HG01358,22,10,45.45454545454545,2.0,2.2,1.8333333333333333,8,36.36363636363637
HG01361,22,10,45.45454545454545,1.5909090909090908,1.6,1.5833333333333333,6,27.27272727272727
HG01891,19,8,42.10526315789473,1.7894736842105263,1.625,1.9090909090909092,6,31.57894736842105
HG01928,19,9,47.368421052631575,2.3684210526315788,2.111111111111111,2.6,9,47.368421052631575
HG01952,18,6,33.33333333333333,1.8333333333333333,1.3333333333333333,2.0833333333333335,5,27.77777777777778
HG01978,23,11,47.82608695652174,1.5217391304347827,1.2727272727272727,1.75,6,26.08695652173913
HG02055,23,10,43.47826086956522,1.7391304347826086,1.9,1.6153846153846154,7,30.434782608695656
HG02080,21,10,47.61904761904761,2.4285714285714284,2.5,2.3636363636363638,12,57.14285714285714
HG02145,22,10,45.45454545454545,1.6818181818181819,1.0,2.25,7,31.818181818181817
HG02148,21,10,47.61904761904761,1.8571428571428572,1.6,2.090909090909091,8,38.095238095238095
HG02257,22,10,45.45454545454545,2.1363636363636362,1.8,2.4166666666666665,9,40.909090909090914
HG02572,21,11,52.38095238095239,2.4761904761904763,1.8181818181818181,3.2,11,52.38095238095239
HG02622,20,10,50.0,1.95,1.9,2.0,7,35.0
HG02630,23,11,47.82608695652174,2.217391304347826,1.9090909090909092,2.5,10,43.47826086956522
HG02717,24,11,45.83333333333333,1.9583333333333333,1.0909090909090908,2.6923076923076925,10,41.66666666666667
HG02723,22,9,40.909090909090914,1.7272727272727273,1.6666666666666667,1.7692307692307692,7,31.818181818181817
HG02818,20,9,45.0,2.1,1.8888888888888888,2.272727272727273,8,40.0
HG02886,24,11,45.83333333333333,1.5416666666666667,1.7272727272727273,1.3846153846153846,7,29.166666666666668
HG03098,21,9,42.857142857142854,2.142857142857143,2.3333333333333335,2.0,8,38.095238095238095
HG03453,22,10,45.45454545454545,1.9090909090909092,1.6,2.1666666666666665,7,31.818181818181817
HG03486,22,10,45.45454545454545,1.6818181818181819,1.6,1.75,6,27.27272727272727
HG03492,21,10,47.61904761904761,2.0476190476190474,1.9,2.1818181818181817,9,42.857142857142854
HG03516,21,10,47.61904761904761,2.1904761904761907,1.7,2.6363636363636362,10,47.61904761904761
HG03540,22,10,45.45454545454545,1.6818181818181819,1.6,1.75,6,27.27272727272727
HG03579,19,6,31.57894736842105,1.894736842105263,2.1666666666666665,1.7692307692307692,6,31.57894736842105
NA18906,19,8,42.10526315789473,2.6842105263157894,3.0,2.4545454545454546,10,52.63157894736842
NA19240,22,11,50.0,1.6818181818181819,1.0,2.3636363636363638,6,27.27272727272727
NA20129,22,10,45.45454545454545,1.9545454545454546,1.6,2.25,9,40.909090909090914
