Run	Assay Type	AssemblyName	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	population	ReleaseDate	create_date	version	Sample Name	SRA Study	Super_Population_Code	common_name	external_id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Sample_name	Scientific_Name	Submitter_Id
ERR3988761	WGS	GCA_000001405.24	300	109574506800	PRJEB36890	SAMEA6603573	9814550389	NYGC	public	cram,run.zq,sra	s3,gs,ncbi	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990626	Illumina NovaSeq 6000	HG00405	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T03:53:00Z	1	HG00405	ERP120144	EAS									
ERR3988762	WGS	GCA_000001405.24	300	113385324300	PRJEB36890	SAMEA6603574	9296952315	NYGC	public	run.zq,cram,sra	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990627	Illumina NovaSeq 6000	HG00408	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T03:57:00Z	1	HG00408	ERP120144	EAS									
ERR3988763	WGS	JTFH01	300	113935583100	PRJEB36890	SAMEA6603575	11687777786	NYGC	public	sra,run.zq,cram	ncbi,gs,s3	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990628	Illumina NovaSeq 6000	HG00418	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-05-04T04:32:00Z	1	HG00418	ERP120144	EAS									
ERR3988764	WGS	GCA_000001405.24	300	110193431700	PRJEB36890	SAMEA6603576	9344706598	NYGC	public	run.zq,cram,sra	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990629	Illumina NovaSeq 6000	HG00420	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:25:00Z	1	HG00420	ERP120144	EAS									
ERR3988765	WGS	GCA_000001405.24	300	113361687000	PRJEB36890	SAMEA6603577	9830733505	NYGC	public	run.zq,cram,sra	ncbi,s3,gs	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990630	Illumina NovaSeq 6000	HG00423	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:10:00Z	1	HG00423	ERP120144	EAS									
ERR3988766	WGS	GCA_000001405.24	300	118297221000	PRJEB36890	SAMEA6603578	11486493029	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990631	Illumina NovaSeq 6000	HG00427	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T03:55:00Z	1	HG00427	ERP120144	EAS									
ERR3988767	WGS	GCA_000001405.24	300	113164907400	PRJEB36890	SAMEA6603579	9570585153	NYGC	public	cram,run.zq,sra	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990632	Illumina NovaSeq 6000	HG00429	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:31:00Z	1	HG00429	ERP120144	EAS									
ERR3988768	WGS	GCA_000001405.24	300	112494705300	PRJEB36890	SAMEA6603580	9527428782	NYGC	public	cram,run.zq,sra	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.us-east1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990633	Illumina NovaSeq 6000	HG00438	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T05:30:00Z	1	HG00438	ERP120144	EAS									
ERR3988769	WGS	JTFH01	300	111975920400	PRJEB36890	SAMEA6603581	9923868502	NYGC	public	cram,sra,run.zq	ncbi,s3,gs	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990634	Illumina NovaSeq 6000	HG00444	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-28T17:54:00Z	1	HG00444	ERP120144	EAS									
ERR3988770	WGS	JTFH01	300	111337531800	PRJEB36890	SAMEA6603582	10282976810	NYGC	public	cram,run.zq,sra	ncbi,gs,s3	s3.us-east-1,gs.us-east1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990635	Illumina NovaSeq 6000	HG00447	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2021-12-21T23:37:00Z	1	HG00447	ERP120144	EAS									
ERR3988771	WGS	GCA_000001405.24	300	116927646900	PRJEB36890	SAMEA6603583	11227429739	NYGC	public	cram,run.zq,sra	ncbi,gs,s3	gs.us-east1,ncbi.public,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990636	Illumina NovaSeq 6000	HG00450	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T04:34:00Z	1	HG00450	ERP120144	EAS									
ERR3988772	WGS	GCA_000001405.24	300	120178450200	PRJEB36890	SAMEA6603584	10306200694	NYGC	public	run.zq,cram,sra	ncbi,s3,gs	ncbi.public,gs.us-east1,s3.us-east-1	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990637	Illumina NovaSeq 6000	HG00453	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T03:51:00Z	1	HG00453	ERP120144	EAS									
ERR3988773	WGS	GCA_000001405.24	300	110359505400	PRJEB36890	SAMEA6603585	9202208812	NYGC	public	sra,cram,run.zq	s3,ncbi,gs	gs.us-east1,s3.us-east-1,ncbi.public	2020-04-21	2020-04-21	2020-03-13	2021-07-27	ERX3990638	Illumina NovaSeq 6000	HG00459	PAIRED	RANDOM	GENOMIC	Homo sapiens	ILLUMINA	CHS	2020-04-24T00:00:00Z	2020-04-25T03:56:00Z	1	HG00459	ERP120144	EAS									
